id_cliente,idade,renda_mensal,tempo_emprego_anos,autonomo,score_credito,valor_solicitado,prazo_meses,juros_mensal_pct,qtde_cartoes,qtde_contratos_abertos,utilizacao_credito,inadimplencias_anteriores,dias_atraso_max_12m,reclamacoes_6m,possui_avalista,canal_aquisicao,regiao,tipo_produto,parcelas_pagas_ate_3m,atraso_primeira_parcela_dias,status_apos_90d,default_90d
1,22,2639.75,2.718887602673955,0,617.0,2619.14,12,3.96,3,0,0.012,1,0,0,0,site,Sul,emprestimo_pessoal,0,29,default,1
2,59,2482.34,10.785992178882882,0,619.0,9101.21,36,3.37,2,2,0.282,1,0,0,0,app,Sudeste,cartao,2,10,em_dia,0
3,52,6230.69,9.547608253020993,0,665.0,13258.67,48,3.12,0,2,0.12,0,0,0,0,loja,Sudeste,cartao,2,0,em_dia,0
4,41,6469.45,4.2870841704756675,0,676.0,1407.28,12,1.52,2,3,0.67,0,90,1,0,parceiro,Sudeste,emprestimo_pessoal,3,0,em_dia,0
5,40,2343.04,0.0,0,671.0,2647.92,48,3.07,1,0,0.325,0,15,0,0,app,Nordeste,bnpl,2,10,em_atraso_leve,0
6,63,2586.72,3.029796966746426,0,753.0,17131.64,36,1.88,1,1,0.401,0,120,0,0,app,Sudeste,emprestimo_pessoal,0,66,default,1
7,22,5252.01,,1,548.0,14625.54,60,2.96,0,0,0.257,0,0,0,0,app,Nordeste,cartao,3,0,em_dia,0
8,54,1881.51,0.39412002900149545,0,496.0,10312.65,12,4.25,1,1,0.59,0,15,2,0,site,Sudeste,cartao,3,10,em_dia,0
9,28,2572.46,1.5565759399456751,0,736.0,4479.97,18,1.29,1,0,0.318,0,5,0,0,loja,Sudeste,emprestimo_pessoal,2,5,em_dia,0
10,22,3743.26,3.164682147911613,0,570.0,14698.01,24,3.9,2,0,0.349,0,0,2,0,parceiro,Sudeste,cartao,3,10,em_dia,0
11,45,7386.97,9.883497435165285,0,618.0,2877.66,36,3.93,2,1,0.164,0,0,1,0,loja,Sudeste,bnpl,3,15,em_dia,0
12,69,2224.01,5.607431062409551,0,598.0,7118.56,48,2.33,0,0,0.428,0,0,0,0,app,Sudeste,emprestimo_pessoal,2,15,em_dia,0
13,56,878.95,,1,596.0,2635.1,48,3.32,1,2,0.157,0,0,1,0,loja,Sudeste,emprestimo_pessoal,2,5,em_atraso_leve,0
14,58,831.37,6.116439817265748,0,526.0,6970.87,12,3.85,1,0,0.467,0,0,0,0,loja,Centro-Oeste,emprestimo_pessoal,2,10,em_atraso_leve,0
15,56,1360.98,,1,602.0,3332.12,18,2.19,2,3,0.368,2,0,0,1,site,Sudeste,cartao,2,0,em_atraso_leve,0
16,59,1307.2,5.880136104113671,0,705.0,15208.9,36,2.89,0,1,0.439,0,0,0,0,app,Centro-Oeste,emprestimo_pessoal,3,10,em_atraso_leve,0
17,45,3116.79,8.412439221100337,0,650.0,11561.1,12,3.21,0,1,0.565,1,15,0,0,site,Sudeste,cartao,3,0,em_dia,0
18,24,1434.91,0.0,0,693.0,4925.63,60,3.61,0,1,0.382,0,0,0,0,app,Sudeste,emprestimo_pessoal,3,0,em_dia,0
19,62,2066.17,7.200563266826652,0,608.0,20210.37,36,3.5,1,2,0.398,0,5,1,0,app,Sul,bnpl,2,0,em_atraso_leve,0
20,41,1958.54,5.818244485864566,0,727.0,3548.67,36,1.72,1,2,0.184,0,0,1,1,app,Nordeste,emprestimo_pessoal,2,0,em_dia,0
21,44,2515.27,3.2191851653295016,0,607.0,7763.63,48,3.52,1,2,0.346,1,0,0,0,parceiro,Nordeste,cartao,0,76,default,1
22,37,9437.03,6.718984777959884,0,471.0,4743.82,12,5.12,1,0,0.245,1,15,0,0,app,Sudeste,cartao,3,0,em_dia,0
23,27,5750.14,3.1013548943482236,0,677.0,15036.15,18,2.38,2,0,0.044,0,30,1,0,app,Sudeste,emprestimo_pessoal,2,5,em_dia,0
24,67,3542.6,10.140959996032958,0,715.0,13823.47,24,2.77,2,1,0.413,0,0,0,0,loja,Sul,emprestimo_pessoal,2,0,em_dia,0
25,59,2476.86,7.099364378170912,0,602.0,24194.0,36,1.99,1,0,0.101,1,0,0,1,app,Sudeste,emprestimo_pessoal,1,89,default,1
26,52,2529.04,6.897416000205298,0,752.0,8584.67,36,2.79,3,1,0.484,0,0,0,0,app,Sudeste,bnpl,2,0,em_dia,0
27,39,4475.3,,1,578.0,646.48,12,3.93,0,0,0.38,0,60,0,0,app,Sudeste,bnpl,3,15,em_dia,0
28,61,5424.3,,1,707.0,5546.7,24,0.97,0,1,0.563,1,30,1,0,site,Sul,emprestimo_pessoal,2,0,em_dia,0
29,46,1771.9,9.14538767975072,0,798.0,30262.59,12,1.79,2,0,0.468,0,120,0,0,site,Sudeste,emprestimo_pessoal,0,109,default,1
30,41,3597.08,6.484286555821162,0,653.0,6069.01,18,1.75,1,0,0.489,0,15,0,0,parceiro,Sudeste,emprestimo_pessoal,3,0,em_dia,0
31,41,800.0,,1,631.0,1567.58,60,2.7,0,3,0.292,1,5,2,1,app,Sudeste,emprestimo_pessoal,0,37,default,1
32,30,4102.3,3.57302198629191,0,641.0,11720.9,12,3.32,2,1,0.4,0,30,2,0,parceiro,Sul,emprestimo_pessoal,3,0,em_atraso_leve,0
33,22,6198.92,0.0,0,788.0,12489.55,12,1.6,0,1,0.307,0,60,3,0,app,Norte,emprestimo_pessoal,3,5,em_dia,0
34,47,2836.9,2.9712094270520426,0,684.0,4311.66,18,3.26,0,2,0.441,0,60,0,0,app,Sudeste,emprestimo_pessoal,3,15,em_dia,0
35,65,13669.38,,1,832.0,6486.38,48,1.32,1,0,0.427,0,0,1,1,app,Centro-Oeste,emprestimo_pessoal,3,10,em_dia,0
36,21,1807.3,1.4219904395109415,0,674.0,3893.23,12,2.64,0,1,0.527,1,15,0,0,parceiro,Sudeste,emprestimo_pessoal,3,0,em_dia,0
37,63,4119.96,,1,594.0,12473.74,9,3.96,0,0,0.132,0,0,1,0,site,Centro-Oeste,emprestimo_pessoal,2,15,em_dia,0
38,61,3407.21,0.0,0,600.0,8394.28,18,3.11,1,1,0.103,1,15,0,0,app,Centro-Oeste,cartao,2,5,em_dia,0
39,32,3246.38,,1,655.0,2969.91,24,2.81,2,1,0.313,3,0,0,1,app,Sul,cartao,3,0,em_dia,0
40,51,3212.41,6.643952783395243,0,476.0,7935.36,12,4.43,1,1,0.422,0,0,1,0,parceiro,Nordeste,cartao,2,10,em_dia,0
41,26,3792.75,4.088514563894189,0,610.0,4290.36,36,3.18,0,1,0.238,0,90,1,0,site,Nordeste,cartao,3,5,em_atraso_leve,0
42,58,6610.98,,1,612.0,27697.53,48,3.83,2,1,0.235,1,5,1,0,site,Sudeste,bnpl,2,15,em_dia,0
43,55,9836.16,5.204097868793001,0,670.0,17100.11,24,2.33,0,0,0.368,0,0,1,0,site,Sudeste,emprestimo_pessoal,3,0,em_dia,0
44,36,3494.1,3.080204655815478,0,815.0,7210.25,6,0.98,0,0,0.229,0,60,1,1,parceiro,Sudeste,cartao,3,0,em_dia,0
45,21,6451.1,0.0,0,655.0,8570.67,24,2.24,1,1,0.148,0,0,1,0,app,Sudeste,cartao,2,0,em_dia,0
46,69,2067.7,6.904174612893807,0,487.0,18937.64,12,3.1,1,1,0.111,2,60,1,0,app,Sudeste,emprestimo_pessoal,0,53,default,1
47,41,6216.64,0.0,0,572.0,6902.42,18,4.36,2,0,0.113,0,0,1,0,app,Nordeste,cartao,3,15,em_dia,0
48,65,1976.38,0.6724545806810411,0,672.0,15242.31,36,2.18,1,2,0.209,0,0,2,0,app,Sudeste,cartao,2,15,em_dia,0
49,53,7930.83,1.9018722046129763,0,658.0,28084.55,9,2.67,3,1,0.493,0,0,0,0,parceiro,Sudeste,cartao,3,10,em_dia,0
50,59,18370.45,11.7003971773139,0,788.0,5270.85,6,2.53,2,0,0.705,0,30,0,1,parceiro,Nordeste,cartao,2,10,em_atraso_leve,0
51,58,3193.76,5.353035794703532,0,732.0,32416.41,12,2.08,2,2,0.311,0,5,0,0,site,Nordeste,cartao,3,0,em_dia,0
52,28,800.0,3.4695707705817806,0,729.0,25312.31,6,2.46,0,4,0.601,0,0,0,0,loja,Sudeste,bnpl,3,0,em_dia,0
53,37,2320.33,,1,632.0,9882.02,12,2.24,1,1,0.223,0,30,2,0,site,Sul,cartao,0,52,default,1
54,42,8816.89,0.0,0,743.0,5485.54,18,2.83,2,0,0.138,0,120,0,0,app,Sudeste,emprestimo_pessoal,0,90,default,1
55,44,5299.28,,1,574.0,9778.01,36,3.46,1,1,0.159,1,60,0,0,app,Sul,emprestimo_pessoal,3,5,em_atraso_leve,0
56,20,4218.37,0.0,0,732.0,6498.79,6,1.6,2,1,0.31,0,0,0,0,app,Sudeste,emprestimo_pessoal,3,15,em_dia,0
57,46,7457.83,2.9182256312291948,0,626.0,4077.91,18,2.51,2,0,0.137,0,15,1,0,app,Sul,emprestimo_pessoal,3,10,em_dia,0
58,26,5033.44,2.268847917024786,0,527.0,12577.07,60,4.86,1,0,0.328,0,60,0,0,app,Nordeste,bnpl,2,0,em_dia,0
59,57,8723.82,,1,700.0,3351.63,24,2.11,1,0,0.347,0,120,1,1,app,Sudeste,emprestimo_pessoal,1,82,default,1
60,54,6974.99,3.2773563841489555,0,769.0,5999.46,36,1.29,1,0,0.118,0,60,1,0,site,Sul,emprestimo_pessoal,3,0,em_dia,0
61,66,10957.66,0.827134809307589,0,615.0,6066.91,24,2.93,0,0,0.232,0,30,2,1,app,Sudeste,emprestimo_pessoal,2,0,em_dia,0
62,57,4580.74,3.376173476825966,0,783.0,2506.71,9,1.74,1,1,0.42,0,60,3,0,app,Sudeste,emprestimo_pessoal,2,0,em_dia,0
63,37,6901.28,1.1593470433311812,0,509.0,14001.2,12,4.17,0,0,0.517,0,0,1,0,app,Sudeste,emprestimo_pessoal,3,5,em_dia,0
